event_time,event_mag,event_dep,moho_dep,station,distance,SnRLg_ratio,SnRLg_error
2019-09-09T06:40:32.000000Z,4.9,30.1,47.3,KR.NRN,943.6300378808083,-0.031140345373632146,0.01598677953222035
2019-09-09T06:40:32.000000Z,4.9,30.1,47.3,KC.TARG,992.5166502243156,-0.43673509818280876,0.03390265309724584
2019-09-09T06:40:32.000000Z,4.9,30.1,47.3,KZ.TLG,1152.5866762280302,-0.7842498804115076,0.11285906758356637
2019-09-09T06:40:32.000000Z,4.9,30.1,47.3,IC.LSA,1494.0325808921227,0.5331079074719832,0.5978244710364287
2010-02-26T04:42:38.000000Z,5.1,84.5,64.1,IC.LSA,447.87776473957246,0.23233482341982786,0.007617713103186425
2010-02-26T04:42:38.000000Z,5.1,84.5,64.1,IC.KMI,1628.1170210824098,0.03273326741367266,0.3715224828905256
2010-02-26T04:42:38.000000Z,5.1,84.5,64.1,KR.ANVS,1793.0775160671797,0.12646064435471369,0.33492072557758923
2014-12-18T15:32:12.000000Z,5.0,30.3,48.3,IC.LSA,511.2721074686349,-0.7348940613090614,0.010613839533938834
2014-12-18T15:32:12.000000Z,5.0,30.3,48.3,II.NIL,1446.413765674119,-0.5251080481743332,0.07724119032562217
2014-12-18T15:32:12.000000Z,5.0,30.3,48.3,TM.MHIT,1472.544379768549,-0.23895757444361126,0.5292322350284524
2014-12-18T15:32:12.000000Z,5.0,30.3,48.3,IC.WMQ,1817.4736645278674,0.7600921757446912,0.5924173045754502
2014-12-18T15:32:12.000000Z,5.0,30.3,48.3,KR.PRZ,1825.1263379040063,0.3160145852647012,0.8317818027156698
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,IC.LSA,369.78438269230895,-1.2927189964316044,0.0004203199078351912
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.NAQ,652.8015346924227,-1.0518435989620212,6.350009581533592e-05
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.CAD,972.7900615623038,-0.9300018149618893,0.0006040908259482636
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.TNC,1050.3110079195935,-1.51372951662302,0.002594204467341084
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.GOM,1147.209786680592,-1.0131409041623707,0.002164576804924584
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,TM.MHIT,1331.4640363459873,-0.05432287934689995,0.11768654016344919
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,TM.CMMT,1444.3648470805763,-1.1181635828888776,0.0028581115539687654
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,IU.CHTO,1444.3697368198286,-1.1049678648385082,0.0028247805337374894
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,IC.KMI,1459.1829904056342,-0.881991476003524,0.006458897305378243
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.CD2,1545.8696822143459,-1.007336678188756,0.008416776732557547
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.GTA,1698.93206608666,-0.2592766136584693,0.009728302911241916
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,RM.SLV,1715.5243372368739,-1.929516959025682,0.01998796989983629
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.LZH,1749.7029656479904,0.28827001998191804,0.012959772699995256
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.KSH,1765.0350481698542,-0.24013889969025576,0.028134784177823988
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,TM.PBKT,1771.177986345499,-0.4115096547479069,0.006936927601358556
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,IC.WMQ,1817.707124702573,0.22704320185218727,0.00884243738788368
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,CB.GYA,1820.157089883774,0.22084102156729404,0.008424536888799317
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,KC.TARG,1853.672795230543,0.2435744330134858,0.008278691843360882
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,KR.PRZ,1898.6078337880465,0.27579764568881326,0.0030715803863421423
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,KR.KDJ,1918.9330909880234,0.08438659043521429,0.006329811455404697
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,KR.NRN,1919.2500850242336,0.4552696276946244,0.0057682923892451166
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,KR.ANVS,1957.577687900247,0.36654786600369454,0.005054289868091927
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,KN.ULHL,1976.3709076634746,0.5151917245317363,0.005242287792649939
2011-09-18T12:40:49.000000Z,6.9,46.0,54.0,TM.NAYO,1980.1261863095951,0.17375156292280655,0.014265379897360346
2016-11-27T23:35:21.000000Z,5.2,35.4,46.7,IC.LSA,520.0423999108106,-0.944669063587001,0.004732828526254376
2016-11-27T23:35:21.000000Z,5.2,35.4,46.7,II.NIL,1450.3129830075336,0.21397466304171636,0.03424498117903982
2016-11-27T23:35:21.000000Z,5.2,35.4,46.7,TM.MHIT,1467.9601866964406,-0.3905000224622105,0.16243680050199924
2016-11-27T23:35:21.000000Z,5.2,35.4,46.7,3J.BXFC,1613.7096136209811,-0.0613824395725076,0.6970293896914901
2016-11-27T23:35:21.000000Z,5.2,35.4,46.7,3J.BRLZ,1631.3272160479826,-0.06104274728265739,0.49509602608064684
